FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
CUBEAGE,0,1,<1,1,40,5,5,0,,0,,0,N,N,Y,,,,,
CUBEAGE,1,4,1-4,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,5,9,5-9,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,10,14,10-14,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,15,19,15-19,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,20,24,20-24,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,25,29,25-29,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,30,34,30-34,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,35,39,35-39,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,40,44,40-44,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,45,49,45-49,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,50,54,50-54,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,55,59,55-59,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,60,64,60-64,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,65,69,65-69,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,70,74,70-74,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,75,79,75-79,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,80,84,80-84,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,85,89,85-89,1,40,5,5,0,,0,,0,N,N,N,,,,,
CUBEAGE,90,HIGH,90+,1,40,5,5,0,,0,,0,N,N,N,H,,,,